Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/192.168.43.186,/142.250.185.14,311,64902,443,6 (TCP),1736094289323
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289323
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289323
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289323
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289323
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289324
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289324
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289324
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289324
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289324
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289326
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289326
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289327
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289327
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289327
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289327
/192.168.43.186,/197.230.70.19,75,56456,443,17 (UDP),1736094289327
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,79,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289329
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289331
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289331
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289331
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289331
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289332
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289333
